Cell Line,CCLE Code,Tissue of Origin,Protein 10-Plex ID,Protein TMT Label,Notes
NCI-H2110,NCIH2110_LUNG,Lung,10,127n
MIA PaCa-2,MIAPACA2_PANCREAS,Pancreas,10,127c
NCI-H520,NCIH520_LUNG,Lung,10,128n
SW-480,SW480_LARGE_INTESTINE,Large Intestine,10,128c
OE33,OE33_OESOPHAGUS,Oesophagus,10,129n
ZR-75-1,ZR751_BREAST,Breast,10,129c
COLO-679,COLO679_SKIN,Skin,10,130n
786-O,786O_KIDNEY,Kidney,10,130c
HCC38,HCC38_BREAST,Breast,11,126
QGP-1,QGP1_PANCREAS,Pancreas,11,127n
HCC-95,HCC95_LUNG,Lung,11,127c
SW948,SW948_LARGE_INTESTINE,Large Intestine,11,128n
LK-2,LK2_LUNG,Lung,11,128c
OVCAR-4,OVCAR4_OVARY,Ovary,11,129n
COLO 741,COLO741_SKIN,Skin,11,129c
NCI-H1650,NCIH1650_LUNG,Lung,11,130n
UACC-257,UACC257_SKIN,Skin,11,130c
NCIH1573,NCIH1573_LUNG,Lung,12,126
A549,A549_LUNG,Lung,12,127n
SU8686,SU8686_PANCREAS,Pancreas,12,127c
TE14,TE14_OESOPHAGUS,Oesophagus,12,128n
NCIH2170,NCIH2170_LUNG,Lung,12,128c
HCC1500,HCC1500_BREAST,Breast,12,129n
MDA-MB-436,MDAMB436_BREAST,Breast,12,129c
DV90,DV90_LUNG,Lung,12,130n
SNU61,SNU61_LARGE_INTESTINE,Large Intestine,12,130c
SBC-5,SBC5_LUNG,Lung,13,126
HT-1376,HT1376_URINARY_TRACT,Urinary Tract,13,127n
CFPAC-1,CFPAC1_PANCREAS,Pancreas,13,127c
NCIH3255,NCIH3255_LUNG,Lung,13,128n
NCIH1975,NCIH1975_LUNG,Lung,13,128c
COLO678,COLO678_LARGE_INTESTINE,Large Intestine,13,129n
SNU119,SNU119_OVARY,Ovary,13,129c
CORL105,CORL105_LUNG,Lung,13,130n
HCC70,HCC70_BREAST,Breast,13,130c
HCC 1806,HCC1806_BREAST,Breast,14,126
COLO-320,COLO320_LARGE_INTESTINE,Large Intestine,14,127n
NCI-H1581,NCIH1581_LUNG,Lung,14,127c
NCI-H1792,NCIH1792_LUNG,Lung,14,128n
NCI-H2066,NCIH2066_LUNG,Lung,14,128c
Sq-1,SQ1_LUNG,Lung,14,129n
A2780,A2780_OVARY,Ovary,14,129c
MKN1,MKN1_STOMACH,Stomach,14,130n
