gene,included,exclusion_reason
DDB2,True,
DDHD1,True,
DDHD2,True,
DDI2,True,
DDOST,True,
DDR1,True,
DDRGK1,True,
DDT,True,
DDX1,True,
DDX10,True,
DDX17,True,
DDX18,True,
DDX19A,True,
DDX19B,True,
DDX20,True,
DDX21,True,
DDX23,True,
DDX24,True,
DDX27,True,
DDX28,True,
DDX31,True,
DDX39A,True,
DDX39B,True,
DDX3X,True,
DDX4,True,
DDX41,True,
DDX42,True,
DDX46,True,
DDX47,True,
DDX49,True,
DDX5,True,
DDX50,True,
DDX51,True,
DDX52,True,
DDX54,True,
DDX55,True,
DDX56,True,
DDX59,True,
DDX6,True,
DDX60,True,
DDX60L,True,
DECR1,True,
DECR2,True,
DEF6,True,
DEGS1,True,
DEK,True,
DENND10,True,
DENND1A,True,
DENND2B,True,
DENND4A,True,
DENND4C,True,
DENND6A,True,
DENR,True,
DEPTOR,True,
DERA,True,
DERL1,True,
DERL2,True,
DES,True,
DESI1,True,
DFFA,True,
DGCR8,True,
DGKA,True,
DGKH,True,
DGKZ,True,
DGLUCY,True,
DGUOK,True,
DHCR24,True,
DHCR7,True,
DHDDS,True,
DHFR,True,
DHFR2,True,
DHODH,True,
DHPS,True,
DHRS1,True,
DHRS11,True,
DHRS13,True,
DHRS2,True,
DHRS3,True,
DHRS4,True,
DHRS7,True,
DHRS7B,True,
DHRSX,True,
DHTKD1,True,
DHX15,True,
DHX16,True,
DHX29,True,
DHX30,True,
DHX32,True,
DHX33,True,
DHX34,True,
DHX35,True,
DHX36,True,
DHX37,True,
DHX38,True,
DHX40,True,
DHX57,True,
DHX8,True,
DHX9,True,
DIABLO,True,
DIAPH1,True,
DIAPH2,True,
DIAPH3,True,
DICER1,True,
DIDO1,True,
DIMT1,True,
DIP2A,True,
DIP2B,True,
DIPK2A,True,
DIS3,True,
DIS3L,True,
DIS3L2,True,
DKC1,True,
DLAT,True,
DLD,True,
DLG1,True,
DLG2,True,
DLG3,True,
DLG5,True,
DLGAP4,True,
DLGAP5,True,
DLST,True,
DMAC2,True,
DMAC2L,True,
DMAP1,True,
DMD,True,
DMTN,True,
DMXL1,True,
DMXL2,True,
DNAAF10,True,
DNAAF2,True,
DNAAF5,True,
DNAH5,True,
DNAJA1,True,
DNAJA2,True,
DNAJA3,True,
DNAJA4,True,
DNAJB1,True,
DNAJB11,True,
DNAJB12,True,
DNAJB14,True,
DNAJB2,True,
DNAJB4,True,
DNAJB6,True,
DNAJC1,True,
DNAJC10,True,
DNAJC11,True,
DNAJC13,True,
DNAJC16,True,
DNAJC17,True,
DNAJC19,True,
DNAJC2,True,
DNAJC21,True,
DNAJC25,True,
DNAJC3,True,
DNAJC5,True,
DNAJC7,True,
DNAJC8,True,
DNAJC9,True,
DNAL1,True,
DNASE2,True,
DNLZ,True,
DNM1,True,
DNM1L,True,
DNM2,True,
DNMBP,True,
DNMT1,True,
DNMT3A,True,
DNPEP,True,
DNPH1,True,
DNTTIP1,True,
DNTTIP2,True,
DOCK1,True,
DOCK10,True,
DOCK11,True,
DOCK5,True,
DOCK6,True,
DOCK7,True,
DOCK9,True,
DOHH,True,
DOK1,True,
DOP1B,True,
DOT1L,True,
DPAGT1,True,
DPCD,True,
DPF2,True,
DPH1,True,
DPH2,True,
DPH5,True,
DPH6,True,
DPM1,True,
DPM3,True,
DPP3,True,
DPP4,True,
DPP7,True,
DPP8,True,
DPP9,True,
DPY19L1,True,
DPY30,True,
DPYD,True,
DPYSL2,True,
DPYSL3,True,
DR1,True,
DRAP1,True,
DRG1,True,
DRG2,True,
DROSHA,True,
DSC2,True,
DSC3,True,
DSCC1,True,
DSG2,True,
DSG3,True,
DSN1,True,
DSP,True,
DST,True,
DSTN,True,
DTD1,True,
DTL,True,
DTNA,True,
DTNB,True,
DTNBP1,True,
DTX2,True,
DTX3L,True,
DTYMK,True,
DUS1L,True,
DUS2,True,
DUS3L,True,
DUSP11,True,
DUSP12,True,
DUSP23,True,
DUSP3,True,
DUT,True,
DVL2,True,
DVL3,True,
DXO,True,
DYM,True,
DYNC1H1,True,
DYNC1I2,True,
DYNC1LI1,True,
DYNC1LI2,True,
DYNC2H1,True,
DYNC2I2,True,
DYNLL1,True,
DYNLL2,True,
DYNLRB1,True,
DYNLT1,True,
DYNLT3,True,
DYRK1A,True,
DYSF,True,
E2F3,True,
E2F4,True,
E2F5,True,
EAF1,True,
EAPP,True,
EARS2,True,
EBAG9,True,
EBNA1BP2,True,
ECD,True,
ECE1,True,
ECH1,True,
ECHDC1,True,
ECHDC3,True,
ECHS1,True,
ECI1,True,
ECI2,True,
ECM1,True,
ECSIT,True,
ECT2,True,
EDC3,True,
EDC4,True,
EDEM3,True,
EDF1,True,
EDIL3,True,
EDRF1,True,
EEA1,True,
EED,True,
EEF1A1,True,
EEF1A2,True,
EEF1B2,True,
EEF1D,True,
EEF1E1,True,
EEF1G,True,
EEF2,True,
EEF2K,True,
EEFSEC,True,
EEPD1,True,
EFCAB14,True,
EFEMP1,True,
EFHD1,True,
EFHD2,True,
EFL1,True,
EFNB1,True,
EFNB2,True,
EFR3A,True,
EFTUD2,True,
EGFR,True,
EGLN1,True,
EHBP1,True,
EHBP1L1,True,
EHD1,True,
EHD2,True,
EHD3,True,
EHD4,True,
EHHADH,True,
EHMT1,True,
EHMT2,True,
EI24,True,
EIF1,True,
EIF1AD,True,
EIF2A,True,
EIF2AK2,True,
EIF2AK3,True,
EIF2AK4,True,
EIF2B1,True,
EIF2B2,True,
EIF2B3,True,
EIF2B4,True,
EIF2B5,True,
EIF2D,True,
EIF2S1,True,
EIF2S2,True,
EIF2S3,True,
EIF3A,True,
EIF3B,True,
EIF3CL,True,
EIF3D,True,
EIF3E,True,
EIF3F,True,
EIF3H,True,
EIF3I,True,
EIF3J,True,
EIF3K,True,
EIF3L,True,
EIF3M,True,
EIF4A1,True,
EIF4A2,True,
EIF4A3,True,
EIF4B,True,
EIF4E,True,
EIF4E2,True,
EIF4EBP1,True,
EIF4EBP2,True,
EIF4ENIF1,True,
EIF4G1,True,
EIF4G2,True,
EIF4G3,True,
EIF4H,True,
EIF5,True,
EIF5A,True,
EIF5B,True,
EIF6,True,
EIPR1,True,
ELAC2,True,
ELAVL1,True,
ELAVL4,True,
ELF1,True,
ELF2,True,
ELF3,True,
ELL,True,
ELMO1,True,
ELMO2,True,
ELMO3,True,
ELMOD2,True,
ELOA,True,
ELOB,True,
ELOC,True,
ELOF1,True,
ELOVL1,True,
ELOVL5,True,
ELP1,True,
ELP2,True,
ELP3,True,
ELP4,True,
ELP5,True,
ELP6,True,
EMC1,True,
EMC10,True,
EMC2,True,
EMC3,True,
EMC4,True,
EMC7,True,
EMC8,True,
EMD,True,
EME1,True,
EMG1,True,
EML1,True,
EML2,True,
EML3,True,
EML4,True,
EMSY,True,
ENAH,True,
ENDOD1,True,
ENDOG,True,
ENG,True,
ENGASE,True,
ENO1,True,
ENO2,True,
ENO3,True,
ENOPH1,True,
ENOSF1,True,
ENPP1,True,
ENPP4,True,
ENSA,True,
ENTPD5,True,
ENTPD6,True,
ENTR1,True,
ENY2,True,
EOGT,True,
EP300,True,
EP400,True,
EPB41,True,
EPB41L1,True,
EPB41L2,True,
EPB41L3,True,
EPB41L5,True,
EPC1,True,
EPC2,True,
EPCAM,True,
EPG5,True,
EPHA6,True,
EPHB2,True,
EPHB3,True,
EPHB4,True,
EPHX1,True,
EPHX2,True,
EPM2AIP1,True,
EPN1,True,
EPN2,True,
EPPK1,True,
EPRS1,True,
EPS15,True,
EPS15L1,True,
EPS8,True,
EPS8L1,True,
EPS8L2,True,
ERAL1,True,
ERAP1,True,
ERAP2,True,
ERBB2,True,
ERBB3,True,
ERBB4,True,
ERBIN,True,
ERC1,True,
ERCC1,True,
ERCC2,True,
ERCC3,True,
ERCC4,True,
ERCC6,True,
ERCC6L,True,
ERF,True,
ERGIC1,True,
ERGIC2,True,
ERGIC3,True,
ERH,True,
ERI1,True,
ERI3,True,
ERICH1,True,
ERLEC1,True,
ERLIN1,True,
ERLIN2,True,
ERMP1,True,
ERO1A,True,
ERO1B,True,
ERP29,True,
ERP44,True,
ESAM,True,
ESCO1,True,
ESD,True,
ESF1,True,
ESRP1,True,
ESRP2,True,
ESS2,True,
ESYT1,True,
ESYT2,True,
ETF1,True,
ETFA,True,
ETFB,True,
ETFDH,True,
ETHE1,True,
ETNK1,True,
ETS1,True,
ETV3,True,
ETV6,True,
EVL,True,
EVPL,True,
EWSR1,True,
EXD2,True,
EXOC1,True,
EXOC2,True,
EXOC3,True,
EXOC4,True,
EXOC5,True,
EXOC6,True,
EXOC6B,True,
EXOC7,True,
EXOC8,True,
EXOG,True,
EXOSC1,True,
EXOSC10,True,
EXOSC2,True,
EXOSC3,True,
EXOSC4,True,
EXOSC5,True,
EXOSC6,True,
EXOSC7,True,
EXOSC8,True,
EXOSC9,True,
EXPH5,True,
EXT2,True,
EXTL2,True,
EYA3,True,
EZH1,True,
EZH2,True,
EZR,True,
F11R,True,
F2,True,
F3,True,
F5,True,
F8,True,
FAAH,True,
FAAP100,True,
FABP3,True,
FABP5,True,
FABP7,True,
FADD,True,
FADS1,True,
FADS2,True,
FAF1,True,
FAF2,True,
FAH,True,
FAHD1,True,
FAHD2A,True,
FAHD2B,True,
FAIM,True,
FAM107B,True,
FAM111A,True,
FAM111B,True,
FAM114A1,True,
FAM114A2,True,
FAM117B,True,
FAM118B,True,
FAM120A,True,
FAM120B,True,
FAM120C,True,
FAM133A,True,
FAM136A,True,
FAM162A,True,
FAM169A,True,
FAM177A1,True,
FAM185A,True,
FAM193A,True,
FAM193B,True,
FAM20B,True,
FAM210A,True,
FAM210B,True,
FAM234A,True,
FAM241A,True,
FAM241B,True,
FAM32A,True,
FAM3A,True,
FAM3C,True,
FAM50A,True,
FAM76A,True,
FAM76B,True,
FAM83B,True,
FAM83D,True,
FAM83G,True,
FAM83H,True,
FAM89A,True,
FAM89B,True,
FAM8A1,True,
FAM91A1,True,
FAM98A,True,
FAM98B,True,
FAM98C,True,
FANCD2,True,
FANCI,True,
FAR1,True,
FARP1,True,
FARP2,True,
FARS2,True,
FARSA,True,
FARSB,True,
FAS,True,
FASN,True,
FASTKD1,True,
FASTKD2,True,
FASTKD5,True,
FAT1,True,
FBL,True,
FBLIM1,True,
FBLN1,True,
FBN1,True,
FBN2,True,
FBP1,True,
FBRS,True,
FBXL18,True,
FBXL20,True,
FBXL6,True,
FBXO11,True,
FBXO2,True,
FBXO22,True,
FBXO28,True,
FBXO3,True,
FBXO30,True,
FBXO38,True,
FBXO4,True,
FBXO45,True,
FBXO6,True,
FBXO7,True,
FCF1,True,
FCGRT,True,
FCHO2,True,
FCHSD1,True,
FCHSD2,True,
FCSK,True,
FDFT1,True,
FDPS,True,
FDX1,True,
FDX2,True,
FDXR,True,
FECH,True,
FEM1B,True,
FEN1,True,
FER,True,
FERMT1,True,
FERMT2,True,
FERMT3,True,
FEZ2,True,
FGD1,True,
FGD3,True,
FGD4,True,
FGD6,True,
FGF2,True,
FGFR1,True,
FGFR1OP2,True,
FH,True,
FHIP1B,True,
FHIP2A,True,
FHIT,True,
FHL1,True,
FHL3,True,
FHOD1,True,
FIBP,True,
FIG4,True,
FIGNL1,True,
FILIP1L,True,
FIP1L1,True,
FIS1,True,
FIZ1,True,
FKBP10,True,
FKBP11,True,
FKBP14,True,
FKBP15,True,
FKBP1A,True,
FKBP2,True,
FKBP3,True,
FKBP4,True,
FKBP5,True,
FKBP7,True,
FKBP8,True,
FKBP9,True,
FKBPL,True,
FLAD1,True,
FLCN,True,
FLII,True,
FLNA,True,
FLNB,True,
FLNC,True,
FLOT1,True,
FLOT2,True,
FLT4,True,
FLVCR1,True,
FLYWCH1,True,
FLYWCH2,True,
FMN1,True,
FMNL1,True,
FMNL2,True,
FMNL3,True,
FMR1,True,
FN1,True,
FN3K,True,
FN3KRP,True,
FNBP1,True,
FNBP1L,True,
FNBP4,True,
FNDC3A,True,
FNDC3B,True,
FNIP1,True,
FNTA,True,
FNTB,True,
FOCAD,True,
FOSL2,True,
FOXA1,True,
FOXJ2,True,
FOXJ3,True,
FOXK1,True,
FOXK2,True,
FOXO3,True,
FOXP1,True,
FOXP4,True,
FOXRED1,True,
FPGS,True,
FPGT,True,
FRA10AC1,True,
FRG1,True,
FRK,True,
FRMD4A,True,
FRMD6,True,
FRMD8,True,
FRS2,True,
FRY,True,
FRYL,True,
FSCN1,True,
FSTL1,True,
FTH1,True,
FTL,True,
FTO,True,
FTSJ1,True,
FTSJ3,True,
FUBP1,True,
FUBP3,True,
FUCA1,True,
FUCA2,True,
FUNDC2,True,
FURIN,True,
FUS,True,
FUT11,True,
FUT8,True,
FXN,True,
FXR1,True,
FXR2,True,
FYCO1,True,
FYN,True,
FYTTD1,True,
FZD1,True,
FZD6,True,
FZD7,True,
G3BP1,True,
G3BP2,True,
G6PD,True,
GAA,True,
GAB1,True,
GAB2,True,
GABARAPL1,True,
GABARAPL2,True,
GABPA,True,
GABPB1,True,
GADD45GIP1,True,
GAK,True,
GALC,True,
GALE,True,
GALK1,True,
GALK2,True,
GALM,True,
GALNS,True,
GALNT1,True,
GALNT10,True,
GALNT2,True,
GALNT3,True,
GALNT5,True,
GALNT6,True,
GALNT7,True,
GALT,True,
GAMT,True,
GAN,True,
GANAB,True,
GAPDH,True,
GAPDHS,True,
GAPVD1,True,
GAR1,True,
GARRE1,True,
GARS1,True,
GART,True,
GAS6,True,
GAS7,True,
GATAD1,True,
GATAD2A,True,
GATAD2B,True,
GATB,True,
GATC,True,
GATD1,True,
GATD3,True,
GATM,True,
GBA1,True,
GBA2,True,
GBE1,True,
GBF1,True,
GBP1,True,
GBP2,True,
GBP3,True,
GC,True,
GCA,True,
GCAT,True,
GCC1,True,
GCC2,True,
GCDH,True,
GCFC2,True,
GCHFR,True,
GCLC,True,
GCLM,True,
GCN1,True,
GCSH,True,
GDAP1,True,
GDAP2,True,
GDE1,True,
GDF15,True,
GDI1,True,
GDI2,True,
GDPD1,True,
GDPGP1,True,
GEMIN2,True,
GEMIN4,True,
GEMIN5,True,
GEMIN6,True,
GEMIN7,True,
GEMIN8,True,
GET3,True,
GET4,True,
GFER,True,
GFM1,True,
GFM2,True,
GFPT1,True,
GFPT2,True,
GFUS,True,
GGA1,True,
GGA2,True,
GGA3,True,
GGACT,True,
GGCT,True,
GGCX,True,
GGH,True,
GGNBP2,True,
GGPS1,True,
GGT1,True,
GGT7,True,
GHDC,True,
GHITM,True,
GID8,True,
GIGYF2,True,
GINS1,True,
GINS2,True,
GINS3,True,
GINS4,True,
GIPC1,True,
GIT1,True,
GIT2,True,
GJA1,True,
GK,True,
GLA,True,
GLB1,True,
GLCCI1,True,
GLCE,True,
GLDC,True,
GLE1,True,
GLG1,True,
GLIPR1,True,
GLIPR2,True,
GLMN,True,
GLMP,True,
GLO1,True,
GLOD4,True,
GLRX,True,
GLRX2,True,
GLRX3,True,
GLRX5,True,
GLS,True,
GLT8D1,True,
GLTP,True,
GLUD1,True,
GLUD2,True,
GLUL,True,
GLYR1,True,
GM2A,True,
GMDS,True,
GMEB1,True,
GMEB2,True,
GMFB,True,
GMFG,True,
GMIP,True,
GMNN,True,
GMPPA,True,
GMPPB,True,
GMPR,True,
GMPR2,True,
GMPS,True,
GNA11,True,
GNA12,True,
GNA13,True,
GNAI1,True,
GNAI2,True,
GNAI3,True,
GNAO1,True,
GNAQ,True,
GNAS,True,
GNB1,True,
GNB1L,True,
GNB2,True,
GNB3,True,
GNB4,True,
GNE,True,
GNG10,True,
GNG12,True,
GNG5,True,
GNL1,True,
GNL2,True,
GNL3,True,
GNL3L,True,
GNPAT,True,
GNPDA1,True,
GNPDA2,True,
GNPNAT1,True,
GNPTG,True,
GNS,True,
GOLGA1,True,
GOLGA2,True,
GOLGA3,True,
GOLGA4,True,
GOLGA5,True,
GOLGA7,True,
GOLGA7B,True,
GOLGB1,True,
GOLIM4,True,
GOLM1,True,
GOLM2,True,
GOLPH3,True,
GOLPH3L,True,
GOLT1B,True,
GON4L,True,
GOPC,True,
GORAB,True,
GORASP1,True,
GORASP2,True,
GOSR1,True,
GOSR2,True,
GOT1,True,
GOT2,True,
GPAA1,True,
GPALPP1,True,
GPAT4,True,
GPATCH1,True,
GPATCH11,True,
GPATCH2,True,
GPATCH4,True,
GPATCH8,True,
GPBP1L1,True,
GPC1,True,
GPC4,True,
GPC6,True,
GPCPD1,True,
GPD1L,True,
GPD2,True,
GPHN,True,
GPI,True,
GPKOW,True,
GPN1,True,
GPN3,True,
GPNMB,True,
GPR107,True,
GPR108,True,
GPR180,True,
GPRC5A,True,
GPRC5C,True,
GPRIN1,True,
GPS1,True,
GPS2,True,
GPSM1,True,
GPSM2,True,
GPT2,True,
GPX1,True,
GPX4,True,
GPX7,True,
GPX8,True,
GRAMD1A,True,
GRAMD1C,True,
GRAMD4,True,
GRB2,True,
GRB7,True,
GRHL2,True,
GRHPR,True,
GRIP1,True,
GRIPAP1,True,
GRK2,True,
GRK6,True,
GRN,True,
GRPEL1,True,
GRPEL2,True,
GRSF1,True,
GRWD1,True,
GSDMD,True,
GSDME,True,
GSE1,True,
GSK3A,True,
GSK3B,True,
GSN,True,
GSPT1,True,
GSPT2,True,
GSR,True,
GSS,True,
GSTCD,True,
GSTK1,True,
GSTM1,True,
GSTM2,True,
GSTM3,True,
GSTM4,True,
GSTO1,True,
GSTP1,True,
GSTT1,True,
GSTZ1,True,
GTF2A1,True,
GTF2A2,True,
GTF2B,True,
GTF2E1,True,
GTF2E2,True,
GTF2F1,True,
GTF2F2,True,
GTF2H1,True,
GTF2H2C,True,
GTF2H3,True,
GTF2H4,True,
GTF2H5,True,
GTF2I,True,
GTF2IRD1,True,
GTF3C1,True,
GTF3C2,True,
GTF3C3,True,
GTF3C4,True,
GTF3C5,True,
GTF3C6,True,
GTPBP1,True,
GTPBP10,True,
GTPBP2,True,
GTPBP3,True,
GTPBP4,True,
GTPBP6,True,
GTSE1,True,
GUF1,True,
GUK1,True,
GULP1,True,
GUSB,True,
GXYLT1,True,
GYG1,True,
GYS1,True,
GZF1,True,
H1-0,True,
H1-1,True,
H1-10,True,
H1-2,True,
H1-3,True,
H1-4,True,
H1-5,True,
H2AC21,True,
H2AX,True,
H2BC1,True,
H4C15,True,
H6PD,True,
HABP4,True,
HACD2,True,
HACD3,True,
HACL1,True,
HADH,True,
HADHA,True,
HADHB,True,
HAGH,True,
HAGHL,True,
HARS1,True,
HARS2,True,
HAT1,True,
HAUS1,True,
HAUS2,True,
HAUS3,True,
HAUS4,True,
HAUS5,True,
HAUS6,True,
HAUS7,True,
HAUS8,True,
HAX1,True,
HBD,True,
HBE1,True,
HBG1,True,
HBS1L,True,
HCCS,True,
HCFC1,True,
HCFC2,True,
HCLS1,True,
HDAC1,True,
HDAC3,True,
HDAC4,True,
HDAC5,True,
HDAC6,True,
HDAC7,True,
HDDC2,True,
HDDC3,True,
HDGF,True,
HDGFL2,True,
HDGFL3,True,
HDHD2,True,
HDHD3,True,
HDHD5,True,
HDLBP,True,
HEATR1,True,
HEATR3,True,
HEATR5A,True,
HEATR5B,True,
HEATR6,True,
HEBP1,True,
HEBP2,True,
HECA,True,
HECTD1,True,
HECTD3,True,
HECTD4,True,
HEG1,True,
HELLS,True,
HELZ,True,
HELZ2,True,
HERC1,True,
HERC2,True,
HERC4,True,
HERC5,True,
HERPUD1,True,
HES1,True,
HEXA,True,
HEXB,True,
HEXIM1,True,
HEXIM2,True,
HGF,True,
HGFAC,True,
HGH1,True,
HGS,True,
HIBADH,True,
HIBCH,True,
HID1,True,
HIF1AN,True,
HIKESHI,True,
HINT1,True,
HINT2,True,
HINT3,True,
HIP1,True,
HIP1R,True,
HIRA,True,
HIRIP3,True,
HIVEP1,True,
HIVEP2,True,
HJURP,True,
HK2,True,
HK3,True,
HLA-A,True,
HLA-B,True,
HLA-C,True,
HLA-DPA1,True,
HLA-DRA,True,
HLA-DRB1,True,
HLA-DRB3,True,
HLA-E,True,
HLA-F,True,
HLCS,True,
HLTF,True,
HM13,True,
HMBOX1,True,
HMBS,True,
HMCES,True,
HMG20A,True,
HMG20B,True,
HMGA1,True,
HMGB1,True,
HMGB2,True,
HMGB3,True,
HMGCL,True,
HMGCS1,True,
HMGN1,True,
HMGN2,True,
HMGN3,True,
HMGN4,True,
HMGN5,True,
HMGXB4,True,
HMMR,True,
HMOX1,True,
HMOX2,True,
HNMT,True,
HNRNPA0,True,
HNRNPA1,True,
HNRNPA2B1,True,
HNRNPA3,True,
HNRNPC,True,
HNRNPD,True,
HNRNPDL,True,
HNRNPF,True,
HNRNPH1,True,
HNRNPH2,True,
HNRNPH3,True,
HNRNPK,True,
HNRNPL,True,
HNRNPLL,True,
HNRNPM,True,
HNRNPR,True,
HNRNPU,True,
HNRNPUL1,True,
HNRNPUL2,True,
HOMER1,True,
HOMER2,True,
HOMER3,True,
HOMEZ,True,
HOOK1,True,
HOOK2,True,
HOOK3,True,
HP1BP3,True,
HPCA,True,
HPCAL1,True,
HPCAL4,True,
HPF1,True,
HPGD,True,
HPRT1,True,
HPS3,True,
HPS5,True,
HPS6,True,
HRAS,True,
HS1BP3,True,
HS2ST1,True,
HSBP1,True,
HSCB,True,
HSD17B10,True,
HSD17B11,True,
HSD17B12,True,
HSD17B4,True,
HSD17B7,True,
HSD17B8,True,
HSDL1,True,
HSDL2,True,
HSF1,True,
HSP90AA1,True,
HSP90AB1,True,
HSP90B1,True,
HSPA12A,True,
HSPA13,True,
HSPA14,True,
HSPA1L,True,
HSPA2,True,
HSPA4,True,
HSPA4L,True,
HSPA5,True,
HSPA6,True,
HSPA8,True,
HSPA9,True,
HSPB1,True,
HSPB8,True,
HSPBAP1,True,
HSPBP1,True,
HSPD1,True,
HSPE1,True,
HSPG2,True,
HSPH1,True,
HTATIP2,True,
HTATSF1,True,
HTRA1,True,
HTRA2,True,
HTT,True,
HUS1,True,
HUWE1,True,
HYCC1,True,
HYCC2,True,
HYI,True,
HYOU1,True,
HYPK,True,
IAH1,True,
IARS1,True,
IARS2,True,
IBA57,True,
IBTK,True,
ICAM1,True,
ICAM2,True,
ICE1,True,
ICE2,True,
ICMT,True,
IDE,True,
IDH1,True,
IDH2,True,
IDH3A,True,
IDH3B,True,
IDH3G,True,
IDI1,True,
IDS,True,
IDUA,True,
IFI16,True,
IFI30,True,
IFI35,True,
IFIH1,True,
IFIT1,True,
IFIT2,True,
IFIT3,True,
IFIT5,True,
IFITM3,True,
IFNGR1,True,
IFRD1,True,
IFT140,True,
IFT172,True,
IFT20,True,
IFT22,True,
IFT25,True,
IFT27,True,
IFT56,True,
IFT57,True,
IFT74,True,
IFT81,True,
IGBP1,True,
IGF1R,True,
IGF2BP1,True,
IGF2BP2,True,
IGF2BP3,True,
IGF2R,True,
IGFBP2,True,
IGFBP3,True,
IGFBP4,True,
IGFBP6,True,
IGFBP7,True,
IGHMBP2,True,
IGSF3,True,
IGSF8,True,
IK,True,
IKBIP,True,
IKBKB,True,
IKBKG,True,
IL18,True,
IL1RAP,True,
IL6ST,True,
ILF2,True,
ILF3,True,
ILK,True,
ILKAP,True,
ILRUN,True,
ILVBL,True,
IMMT,True,
IMP3,True,
IMP4,True,
IMPA1,True,
IMPA2,True,
IMPACT,True,
IMPDH1,True,
IMPDH2,True,
INCENP,True,
INF2,True,
ING1,True,
ING3,True,
ING4,True,
ING5,True,
INIP,True,
INO80,True,
INO80B,True,
INO80C,True,
INO80E,True,
INPP1,True,
INPP4A,True,
INPP4B,True,
INPP5A,True,
INPP5B,True,
INPP5D,True,
INPP5F,True,
INPP5K,True,
INPPL1,True,
INSR,True,
INTS1,True,
INTS10,True,
INTS11,True,
INTS12,True,
INTS13,True,
INTS14,True,
INTS2,True,
INTS3,True,
INTS4,True,
INTS5,True,
INTS6,True,
INTS7,True,
INTS8,True,
INTS9,True,
IP6K1,True,
IPO11,True,
IPO13,True,
IPO4,True,
IPO5,True,
IPO7,True,
IPO8,True,
IPO9,True,
IQGAP1,True,
IQGAP2,True,
IQGAP3,True,
IQSEC1,True,
IQSEC2,True,
IRAK1,True,
IRAK4,True,
IREB2,True,
IRF2,True,
IRF2BP1,True,
IRF2BP2,True,
IRF2BPL,True,
IRF3,True,
IRF6,True,
IRF9,True,
IRGQ,True,
IRS1,True,
IRS2,True,
ISCA1,True,
ISCA2,True,
ISCU,True,
ISG15,True,
ISG20,True,
ISG20L2,True,
ISOC1,True,
ISOC2,True,
IST1,True,
ISY1-RAB43,True,
ISYNA1,True,
ITCH,True,
ITFG1,True,
ITFG2,True,
ITGA1,True,
ITGA2,True,
ITGA2B,True,
ITGA3,True,
ITGA4,True,
ITGA5,True,
ITGA6,True,
ITGAV,True,
ITGB1,True,
ITGB2,True,
ITGB3,True,
ITGB4,True,
ITGB5,True,
ITGB6,True,
ITGB8,True,
ITIH2,True,
ITIH3,True,
ITM2B,True,
ITPA,True,
ITPK1,True,
ITPKB,True,
ITPKC,True,
ITPR2,True,
ITPR3,True,
ITPRID2,True,
ITSN1,True,
ITSN2,True,
IVD,True,
IVL,True,
IVNS1ABP,True,
IWS1,True,
JADE2,True,
JADE3,True,
JAG1,True,
JAGN1,True,
JAK1,True,
JAM3,True,
JCAD,True,
JMJD1C,True,
JMJD6,True,
JMY,True,
JPH1,True,
JPT1,True,
JPT2,True,
JTB,True,
JUN,True,
JUNB,True,
JUND,True,
JUP,True,
KANK1,True,
KANK2,True,
KANK4,True,
KANSL1,True,
KANSL2,True,
KANSL3,True,
KARS1,True,
KAT14,True,
KAT2A,True,
KAT5,True,
KAT6A,True,
KAT6B,True,
KAT7,True,
KAT8,True,
KATNA1,True,
KATNAL1,True,
KATNB1,True,
KAZN,True,
KBTBD11,True,
KBTBD2,True,
KCMF1,True,
KCNAB2,True,
KCTD10,True,
KCTD12,True,
KCTD13,True,
KCTD15,True,
KCTD18,True,
KCTD3,True,
KCTD5,True,
KCTD9,True,
KDELR3,True,
KDM1A,True,
KDM1B,True,
KDM2A,True,
KDM2B,True,
KDM3A,True,
KDM3B,True,
KDM4A,True,
KDM4B,True,
KDM5A,True,
KDM5B,True,
KDM5C,True,
KDM5D,True,
KDM6A,True,
KDSR,True,
KEAP1,True,
KGD4,True,
KHDC4,True,
KHDRBS1,True,
KHDRBS3,True,
KHK,True,
KHNYN,True,
KHSRP,True,
KIAA0319L,True,
KIAA1143,True,
KIAA1191,True,
KIAA1217,True,
KIAA1671,True,
KIAA2013,True,
KIDINS220,True,
KIF11,True,
KIF13A,True,
KIF13B,True,
KIF14,True,
KIF15,True,
KIF16B,True,
KIF1A,True,
KIF1B,True,
KIF1C,True,
KIF20A,True,
KIF20B,True,
KIF21A,True,
KIF22,True,
KIF23,True,
KIF2A,True,
KIF2C,True,
KIF3A,True,
KIF3B,True,
KIF3C,True,
KIF4A,True,
KIF4B,True,
KIF5A,True,
KIF5B,True,
KIF5C,True,
KIFAP3,True,
KIFBP,True,
KIFC1,True,
KIFC3,True,
KIN,True,
KLC1,True,
KLC2,True,
KLC3,True,
KLC4,True,
KLF13,True,
KLF16,True,
KLHDC4,True,
KLHL11,True,
KLHL13,True,
KLHL7,True,
KLK6,True,
KMT2A,True,
KMT2B,True,
KMT2C,True,
KMT2D,True,
KMT2E,True,
KNL1,True,
KNOP1,True,
KNSTRN,True,
KNTC1,True,
KPNA1,True,
KPNA2,True,
KPNA3,True,
KPNA4,True,
KPNA6,True,
KPNB1,True,
KRAS,True,
KRI1,True,
KRIT1,True,
KRR1,True,
KRT1,True,
KRT10,True,
KRT12,True,
KRT13,True,
KRT14,True,
KRT15,True,
KRT16,True,
KRT17,True,
KRT18,True,
KRT19,True,
KRT2,True,
KRT23,True,
KRT35,True,
KRT4,True,
