gene,included,exclusion_reason
APEX1,True,
API5,True,
APIP,True,
APLF,True,
APLP2,True,
APMAP,True,
APOB,True,
APOBEC3A_B,True,
APOBEC3C,True,
APOBEC3D,True,
APOBEC3G,True,
APOD,True,
APOE,True,
APOH,True,
APOL2,True,
APOO,True,
APOOL,True,
APP,True,
APPL1,True,
APPL2,True,
APRT,True,
APTX,True,
AQR,True,
ARAF,True,
ARAP1,True,
ARB2A,True,
ARCN1,True,
ARF4,True,
ARF5,True,
ARF6,True,
ARFGAP1,True,
ARFGAP2,True,
ARFGAP3,True,
ARFGEF1,True,
ARFGEF2,True,
ARFGEF3,True,
ARFIP1,True,
ARFIP2,True,
ARFRP1,True,
ARGLU1,True,
ARHGAP1,True,
ARHGAP10,True,
ARHGAP12,True,
ARHGAP17,True,
ARHGAP18,True,
ARHGAP21,True,
ARHGAP25,True,
ARHGAP26,True,
ARHGAP27,True,
ARHGAP29,True,
ARHGAP32,True,
ARHGAP35,True,
ARHGAP39,True,
ARHGAP4,True,
ARHGAP42,True,
ARHGAP45,True,
ARHGAP5,True,
ARHGDIA,True,
ARHGDIB,True,
ARHGEF1,True,
ARHGEF10,True,
ARHGEF11,True,
ARHGEF12,True,
ARHGEF16,True,
ARHGEF17,True,
ARHGEF18,True,
ARHGEF2,True,
ARHGEF28,True,
ARHGEF40,True,
ARHGEF5,True,
ARHGEF6,True,
ARHGEF7,True,
ARID1A,True,
ARID2,True,
ARID3A,True,
ARID4A,True,
ARID4B,True,
ARID5B,True,
ARIH1,True,
ARIH2,True,
ARK2N,True,
ARL1,True,
ARL14EP,True,
ARL15,True,
ARL2,True,
ARL2BP,True,
ARL3,True,
ARL5B,True,
ARL6,True,
ARL6IP1,True,
ARL6IP4,True,
ARL6IP5,True,
ARL6IP6,True,
ARL8A,True,
ARL8B,True,
ARMC1,True,
ARMC10,True,
ARMC6,True,
ARMC8,True,
ARMC9,True,
ARMCX1,True,
ARMCX3,True,
ARMH3,True,
ARMT1,True,
ARNT,True,
ARPC1A,True,
ARPC1B,True,
ARPC2,True,
ARPC3,True,
ARPC4,True,
ARPC5,True,
ARPC5L,True,
ARPIN,True,
ARPP19,True,
ARRB1,True,
ARRB2,True,
ARRDC1,True,
ARSA,True,
ARSB,True,
ARSD,True,
ARVCF,True,
AS3MT,True,
ASAH1,True,
ASAP1,True,
ASAP2,True,
ASB9,True,
ASCC1,True,
ASCC2,True,
ASCC3,True,
ASF1A,True,
ASF1B,True,
ASH1L,True,
ASH2L,True,
ASL,True,
ASMTL,True,
ASNS,True,
ASPH,True,
ASPM,True,
ASPSCR1,True,
ASRGL1,True,
ASS1,True,
ASXL2,True,
ATAD1,True,
ATAD2,True,
ATAD2B,True,
ATAD3B,True,
ATAT1,True,
ATE1,True,
ATF1,True,
ATF2,True,
ATF6,True,
ATF7,True,
ATF7IP,True,
ATG101,True,
ATG12,True,
ATG16L1,True,
ATG2A,True,
ATG2B,True,
ATG3,True,
ATG4B,True,
ATG4C,True,
ATG5,True,
ATG7,True,
ATG9A,True,
ATIC,True,
ATL1,True,
ATL2,True,
ATL3,True,
ATM,True,
ATN1,True,
ATOX1,True,
ATP11A,True,
ATP11B,True,
