File ID,File Name,Run Metadata ID,Protocol,Study Name,PDC Study ID,PDC Study Version,Study ID,Project Name,Data Category,File Type,Access,File Size (in bytes),Md5sum,Downloadable,File Download Link
"005d5a00-6436-4133-9f1d-0265c7f44886","01CPTAC_LUAD_W_BI_20180515_KR_f19.mzid.gz","01CPTAC_LUAD_Proteome_BI_20180515","P-S046-1","CPTAC LUAD Discovery Study - Proteome","PDC000153","1","f1c59a53-ab7c-11e9-9a07-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","7259067","b6828ce57f93d3a75d3e7ec9250c2fed","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/153/PSM/mzid/01CPTAC_LUAD_W_BI_20180515_KR_f19.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzE1My9QU00vbXppZC8wMUNQVEFDX0xVQURfV19CSV8yMDE4MDUxNV9LUl9mMTkubXppZC5neiIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3NDExODkyOX19fV19&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=EITSujqfkhHXkK1aWjeatBAXvgFdHmzsz8oppI-fsa-PufuBe7tRIDWFS5Y35TKUHArrEY4gLFDM~ImsPUmur3wn5N9zh89w24IzGHQn36C2KKcAVcsjyzhx2RhATPZxeLa-j2G9laDqNhRHMPqbM7vfhsHYxUATSzvQAvK0IXZmdphU44QadQSfuIzFU2wN~xMVAJELylrqI8NHIjYhfLf9uN1Q2yTS6n5mLX3gr9bvPOVZXbNfeftq6Z0zgi3YC9jK5ebHhmIEW0Eo27cFCVPOQ4tHWiY2K-7TPJhaLgkFxu4pTVpDLI0prtkqfKk94fXzzoLbbRwAon4b-uZYVQ__"
"0062907a-2c26-4e92-9558-3e684346f500","07CPTAC_LUAD_W_BI_20180602_KR_f15.mzid.gz","07CPTAC_LUAD_Proteome_BI_20180602","P-S046-1","CPTAC LUAD Discovery Study - Proteome","PDC000153","1","f1c59a53-ab7c-11e9-9a07-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","8115208","5c070b11b314bc3f74794991ea65fcb4","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/153/PSM/mzid/07CPTAC_LUAD_W_BI_20180602_KR_f15.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzE1My9QU00vbXppZC8wN0NQVEFDX0xVQURfV19CSV8yMDE4MDYwMl9LUl9mMTUubXppZC5neiIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3NDExODkyOX19fV19&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=au26L~BJD23iLzPm7IXuWXVG4TcA8ZlEfvKrjpuxTNs7YTRTvZQFeAibJRXfKv~YMLjSmuUEalhq5AP2B-9ykUDzI1JmPsYSxcR90dow90qTLt6JRVvh~jtLkJSGfi9Ms5pyNzdkNz3d-NOPWxU4QNN8YIB1kRinHS2D6wTVDkoJIZazFWhOHdZtwNDEoLRK1Ab5pxFUZZ7gjwpfOdGHEW06acEXAB4HatEwPXH8DgyFlsRHL1520FJ6YS2vMcmaW3~MlS1Xgtt36Ocd3gCCYsxjmiQiDDm7FB6BOaO2w5FkqfiaSTHNOroHqZ3t-AW1CZ3JN-hjmGpXoDfJUQIMdQ__"
"0080918b-0a44-477a-a74a-cd8f90d032e2","11CPTAC_LUAD_W_BI_20180905_KR_f05.psm","11CPTAC_LUAD_Proteome_BI_20180905","P-S046-1","CPTAC LUAD Discovery Study - Proteome","PDC000153","1","f1c59a53-ab7c-11e9-9a07-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Text","Open","5172359","f36d873f278ab79cab195530101149dd","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/153/PSM/tsv/11CPTAC_LUAD_W_BI_20180905_KR_f05.psm?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzE1My9QU00vdHN2LzExQ1BUQUNfTFVBRF9XX0JJXzIwMTgwOTA1X0tSX2YwNS5wc20iLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzQxMTg5Mjl9fX1dfQ__&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=KQP~snOjuvN5SxXbWASCv7cafJKmFhAA8iVsk~QuGl7GcaVEIQm5JM8IOroNPC9p3SuZvXbkbyt8Cp83HQENp-u1JmAZ~G6Vtg5peMYcnhKV7RP-xzCim3-7Aq61MLbLtXLOGi5oPvgL4IZFK8f1CHtDS-BrEaL2Ul0MXbvHf6ujn6R2IIhGnmGJAeBrGIaZa6Cn1dJevpZhEHeTjdUDoYGWDxwfWuYeDkHgsy1DzmuVqGUzTa~Wdvy5gFKjkj0b7eEqC0zhjOLl7HWGIPVYEjTpDcEXOBZHY4Fjxr4vt9dxf3GIi2VFY6kOyEGvHK7QTEnOioCS0-wDU2s~NOUfMg__"
"00a76897-1ff1-4070-ab5b-8c75c6935a6b","25CPTAC_LUAD_W_BI_20180901_KR_f03.psm","25CPTAC_LUAD_Proteome_BI_20180901","P-S046-1","CPTAC LUAD Discovery Study - Proteome","PDC000153","1","f1c59a53-ab7c-11e9-9a07-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Text","Open","4622499","c25d5bcfd8742fd5a7c4a9a62ac8a487","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/153/PSM/tsv/25CPTAC_LUAD_W_BI_20180901_KR_f03.psm?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzE1My9QU00vdHN2LzI1Q1BUQUNfTFVBRF9XX0JJXzIwMTgwOTAxX0tSX2YwMy5wc20iLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzQxMTg5Mjl9fX1dfQ__&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=XkyX-PfUcN5LwSIpMLW~97sctGHdsMdqBlK0AksiWw-l0gWFdYDvwgVJ7NxFtMNX5MddbeXreVYc003RbXMaAtwmiyQG0q5ic84OjyKpQCFztnySirGkJJxFGrRS8Rh0k2GDw3Qo7hbL-mAARNlPznyLs3WhYe2T6fN5QK6LQIM-U8r7515045CAJE7Mlm8TUOeU4JM7dA1yWppzdD7FeH1Bus1YAvzCemLByuDUc3MZ22NkFd4ykyGxY6Fto-G4jwVTKrc7YsrAVeGHYaHUwoUk-nI8HRVKskB78xSVl2kL5gDfJMIVs0U82l3h0roZ~sM7lxZZjRQmlG01NV7f6Q__"
"00da9d32-f770-459c-ba91-4d995c79b42a","05CPTAC_LUAD_W_BI_20180527_KR_f16.psm","05CPTAC_LUAD_Proteome_BI_20180527","P-S046-1","CPTAC LUAD Discovery Study - Proteome","PDC000153","1","f1c59a53-ab7c-11e9-9a07-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Text","Open","5173841","3f0e886c219f36bf3fcbb2679470b1f9","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/153/PSM/tsv/05CPTAC_LUAD_W_BI_20180527_KR_f16.psm?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzE1My9QU00vdHN2LzA1Q1BUQUNfTFVBRF9XX0JJXzIwMTgwNTI3X0tSX2YxNi5wc20iLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzQxMTg5Mjl9fX1dfQ__&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Z6z8rvf8QA-7Ljs8yZIuxY1xWQkEGyP~CVKTGcLbeJ-IaMjX64RjNLY2IsOlEubiXtI7UHINSCDcCxethOCcd5gR-tofQLB1Pky8fPlOhiJ6BAa-VxhqbXdafYrUxM3ZcBKdx1Pi6WVPiBrkl0RNvJOdP~0VrYmLHq2-OPq0PB8MBBPkiTbHBBmoQvlGFLG~9BD6dxEu7ZSOslRCFjkZctbYIN10RNm9NnqJ-1EDOZofc~yRY0tWnf0DvShLCeVT-w2gva0m4Ak0qur-UV-Rj8p5Y0SvrBa6xBFLx02SrKz1UwlelLSrklVRRdVDHGHTPOrWhPxCHfgDls1LgqXfaw__"
"0104967d-89ce-4f03-9c70-32fd5cd080be","18CPTAC_LUAD_W_BI_20180726_KL_f04.psm","18CPTAC_LUAD_Proteome_BI_20180726","P-S046-1","CPTAC LUAD Discovery Study - Proteome","PDC000153","1","f1c59a53-ab7c-11e9-9a07-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Text","Open","4845956","5d67a26d3f8d7e15031d94188424ce81","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/153/PSM/tsv/18CPTAC_LUAD_W_BI_20180726_KL_f04.psm?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzE1My9QU00vdHN2LzE4Q1BUQUNfTFVBRF9XX0JJXzIwMTgwNzI2X0tMX2YwNC5wc20iLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzQxMTg5Mjl9fX1dfQ__&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=BxpgLcq97fScFCVF1SPIhdE~hJvFpxcaW0Ae7d0Pt-q2WsDHrJktFahW3D445apjGRu7bg129FKYN7tpSv9Eli7oIB3-VwxPEDCusJtnmZKPyFgGgrXnEptz2rEwO18t16qdJwJTppIpuEa9bSfDBW7oa2bD4CvxNtxfP9pfH39sCOUnMTiwxarznKq5BuErC53t46Pq3Hr5p4~zlJqh0gTjX-BFsojEJR7zW1qCwXiSqHR-D-BN6vhjWyCuIywAOH0p9gIlALWqUF1F2hd7jgPJHOwwGZmhPk2dvo6YfsBg-N5mSAJ0KGDVbGGTZaPRz0SMNlppRytTCzkG8GjtZA__"
"0136ecaf-63ec-4bd3-b448-31c613059f54","03CPTAC_LUAD_W_BI_20180521_KR_f23.mzid.gz","03CPTAC_LUAD_Proteome_BI_20180521","P-S046-1","CPTAC LUAD Discovery Study - Proteome","PDC000153","1","f1c59a53-ab7c-11e9-9a07-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","7044292","e5917cf57f1c3ef41cfb66eaa523e835","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/153/PSM/mzid/03CPTAC_LUAD_W_BI_20180521_KR_f23.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzE1My9QU00vbXppZC8wM0NQVEFDX0xVQURfV19CSV8yMDE4MDUyMV9LUl9mMjMubXppZC5neiIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3NDExODkyOX19fV19&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=W-uxSjTHGklibFLuYRpzc3l15o5neSh9n9Vdp0Plk~mxMNlhDiczISq0ntCr4AU1YdD9JQQcWNrCCUMZsCe2O9Ot8NzSnidMHB0XDiki5F1fiNl~4q6X1MKetpKyOHDZQdVlTj~5vRW6AHqB59FZok8N24TeVklmFwfICGheWpe8m8QYRLxgO7mnT6gZLcjKSdP9iKRvYYv2W667GvZJ47apg9Tf1M37UUuc~V6X5urbupb4FhGZEmS0HdFakpgwUTsBdiHMR7sK~BZdGomFU88a3LPhL-CCLC1x9GatiUrsfQPPjVa1UlvicOrIB09nRh7pWLYEhIAQaUGRW7w9UQ__"
"0146d826-310c-412b-bc43-740ed8edc40d","16CPTAC_LUAD_W_BI_20180718_KL_f21.psm","16CPTAC_LUAD_Proteome_BI_20180718","P-S046-1","CPTAC LUAD Discovery Study - Proteome","PDC000153","1","f1c59a53-ab7c-11e9-9a07-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Text","Open","4442035","01b63195b8d841e2b3bcc10ceee76427","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/153/PSM/tsv/16CPTAC_LUAD_W_BI_20180718_KL_f21.psm?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzE1My9QU00vdHN2LzE2Q1BUQUNfTFVBRF9XX0JJXzIwMTgwNzE4X0tMX2YyMS5wc20iLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzQxMTg5Mjl9fX1dfQ__&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=gJ1jn~4W12X~1adFI~oVQW29LxKNMwLG8rLToK8XjB~CjTvzSOjxEtShj7aYHvF3wC9eDN0fkukFPrWS632yIrEEzGbfJF-NHFG6cBXWiHFrXuSyX~vmD4GJnbfsTMUtelKP-sxcKmyVJ5-aCB6EFJfkjqsUAJwbkBTPu3DPyqz6P7HT5yrzgJR3aHtnIW2dnJBcGPUOCFRBoZv32UWOfjEaE8RwVR93JzJ7mCFZXXS9y7naGpTcqohY3~VeM6YxyDL7OPpWnnKWJniHMbMMk853N3bW9nl0RUTUWrQmsvuqWSFKEQLkQ8NfUV6W2FqGtOHl~HgJgtg61AIr9BGlfQ__"
"017cfd8c-2303-4224-939c-8b8da2b1581f","24CPTAC_LUAD_W_BI_20180829_KR_f14.mzid.gz","24CPTAC_LUAD_Proteome_BI_20180829","P-S046-1","CPTAC LUAD Discovery Study - Proteome","PDC000153","1","f1c59a53-ab7c-11e9-9a07-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Open Standard","Open","7448467","5bb1cfe75dbfb4c1b4db4323987df792","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/153/PSM/mzid/24CPTAC_LUAD_W_BI_20180829_KR_f14.mzid.gz?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzE1My9QU00vbXppZC8yNENQVEFDX0xVQURfV19CSV8yMDE4MDgyOV9LUl9mMTQubXppZC5neiIsIkNvbmRpdGlvbiI6eyJEYXRlTGVzc1RoYW4iOnsiQVdTOkVwb2NoVGltZSI6MTc3NDExODkyOX19fV19&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=Dr7BTXM504~7Dk~HCxVzTmpMJDf7SLac6W~sL0RxedEPN7cgQzdQb9LWvSV2RPqOjBHJxVXWmJa6qh9NnqQgZ49oLoYQVHl2d6u20Oxldme9p7eoqqNXMRoEBVyH-8Y2WILoBVcbjN~n5JhkASfx9LIFsxbi2R7t-Z57OZzCvwuraqc8n7PVseilZjWxPdCS3rMapDkoc~JQPtzIVmRsc0LtZmh~~KLbdAoAWCpX8adrnQb5uD0nmkuxdldLmJYAfKl5N6Ptt5HVO--eGAqvf8s2CuDYkV12i64ix2ZP~jL9el-QaynDSa4jrKEQkXYe-j2AzC4~5iphTX8d1rALNQ__"
"0197f68c-24d0-419c-ba45-a38adac80e9f","20CPTAC_LUAD_W_BI_20180809_KR_f04.psm","20CPTAC_LUAD_Proteome_BI_20180809","P-S046-1","CPTAC LUAD Discovery Study - Proteome","PDC000153","1","f1c59a53-ab7c-11e9-9a07-0a80fada099c","CPTAC3 Discovery and Confirmatory","Peptide Spectral Matches","Text","Open","5522410","36cd17d5e5495a533080f3810c250d33","Yes","https://d3iwtkuvwz4jtf.cloudfront.net/studies/153/PSM/tsv/20CPTAC_LUAD_W_BI_20180809_KR_f04.psm?Policy=eyJTdGF0ZW1lbnQiOlt7IlJlc291cmNlIjoiaHR0cHM6Ly9kM2l3dGt1dnd6NGp0Zi5jbG91ZGZyb250Lm5ldC9zdHVkaWVzLzE1My9QU00vdHN2LzIwQ1BUQUNfTFVBRF9XX0JJXzIwMTgwODA5X0tSX2YwNC5wc20iLCJDb25kaXRpb24iOnsiRGF0ZUxlc3NUaGFuIjp7IkFXUzpFcG9jaFRpbWUiOjE3NzQxMTg5Mjl9fX1dfQ__&Key-Pair-Id=APKAIXDMVIARW22I7ILQ&Signature=ZcmkWVc1jyU1zObekLY97cpFIowQaHqQ7F-RBMS8qy7rAEzJ3eUnshAPjvSBn5rOnv1V~MvIpu02UwMNDmbySzt3OEJYec~PL9qqHvSItu1n-8PHdxDT8acvn3KIeHN0eEcfEGoLN2vCrr~-IZyU7P--L9U69Qr~Fv9~ja74rXFLJbXtphhPEYI2rF7fFWLirU0TYROboSpM8NxpuLHqfWsd3eNN5-IT7OvZ16btIAfLPPOSoG7OMqQwgwxjCe8BOus8LFEI0XY4BjZk9Ir8WYRgbHjfZZ8oQulJRwjo5ScSWbvhaGLfGRbPRE1MGQPTbQzPOp4GoW6IHVoK7GWekw__"
